Statistic Label,Area of Residence,ICD 10 Diagnostic Group,Year,UNIT,VALUE
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,Diseases of the circulatory system,2015,No. per 1000 Pop.,2
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,Diseases of the circulatory system,2016,No. per 1000 Pop.,1.95
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,Diseases of the circulatory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,Diseases of the respiratory system,2007,No. per 1000 Pop.,0.77
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,Diseases of the respiratory system,2008,No. per 1000 Pop.,0.8
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,Diseases of the respiratory system,2009,No. per 1000 Pop.,0.81
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,Diseases of the respiratory system,2010,No. per 1000 Pop.,0.72
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,Diseases of the respiratory system,2011,No. per 1000 Pop.,0.75
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,Diseases of the respiratory system,2012,No. per 1000 Pop.,0.76
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,Diseases of the respiratory system,2013,No. per 1000 Pop.,0.76
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,Diseases of the respiratory system,2014,No. per 1000 Pop.,0.76
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,Diseases of the respiratory system,2015,No. per 1000 Pop.,0.82
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,Diseases of the respiratory system,2016,No. per 1000 Pop.,0.83
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,Diseases of the respiratory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,External causes of injury and poisoning,2007,No. per 1000 Pop.,0.41
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,External causes of injury and poisoning,2008,No. per 1000 Pop.,0.39
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,External causes of injury and poisoning,2009,No. per 1000 Pop.,0.39
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,External causes of injury and poisoning,2010,No. per 1000 Pop.,0.36
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,External causes of injury and poisoning,2011,No. per 1000 Pop.,0.37
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,External causes of injury and poisoning,2012,No. per 1000 Pop.,0.34
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,External causes of injury and poisoning,2013,No. per 1000 Pop.,0.32
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,External causes of injury and poisoning,2014,No. per 1000 Pop.,0.33
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,External causes of injury and poisoning,2015,No. per 1000 Pop.,0.28
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,External causes of injury and poisoning,2016,No. per 1000 Pop.,0.28
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",State,External causes of injury and poisoning,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,Neoplasms,2007,No. per 1000 Pop.,1.91
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,Neoplasms,2008,No. per 1000 Pop.,2.02
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,Neoplasms,2009,No. per 1000 Pop.,2.17
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,Neoplasms,2010,No. per 1000 Pop.,1.72
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,Neoplasms,2011,No. per 1000 Pop.,2.33
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,Neoplasms,2012,No. per 1000 Pop.,1.97
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,Neoplasms,2013,No. per 1000 Pop.,2.4
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,Neoplasms,2014,No. per 1000 Pop.,2.08
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,Neoplasms,2015,No. per 1000 Pop.,2.37
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,Neoplasms,2016,No. per 1000 Pop.,2.41
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,Neoplasms,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,Diseases of the circulatory system,2007,No. per 1000 Pop.,2.26
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,Diseases of the circulatory system,2008,No. per 1000 Pop.,1.92
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,Diseases of the circulatory system,2009,No. per 1000 Pop.,2.9
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,Diseases of the circulatory system,2010,No. per 1000 Pop.,2
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,Diseases of the circulatory system,2011,No. per 1000 Pop.,1.93
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,Diseases of the circulatory system,2012,No. per 1000 Pop.,2.17
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,Diseases of the circulatory system,2013,No. per 1000 Pop.,2.23
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,Diseases of the circulatory system,2014,No. per 1000 Pop.,2.1
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,Diseases of the circulatory system,2015,No. per 1000 Pop.,2.33
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,Diseases of the circulatory system,2016,No. per 1000 Pop.,1.79
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,Diseases of the circulatory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,Diseases of the respiratory system,2007,No. per 1000 Pop.,0.78
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,Diseases of the respiratory system,2008,No. per 1000 Pop.,0.91
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,Diseases of the respiratory system,2009,No. per 1000 Pop.,0.91
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,Diseases of the respiratory system,2010,No. per 1000 Pop.,0.76
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,Diseases of the respiratory system,2011,No. per 1000 Pop.,0.89
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,Diseases of the respiratory system,2012,No. per 1000 Pop.,1.02
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,Diseases of the respiratory system,2013,No. per 1000 Pop.,0.88
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,Diseases of the respiratory system,2014,No. per 1000 Pop.,0.83
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,Diseases of the respiratory system,2015,No. per 1000 Pop.,0.9
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,Diseases of the respiratory system,2016,No. per 1000 Pop.,0.8
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,Diseases of the respiratory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,External causes of injury and poisoning,2007,No. per 1000 Pop.,0.54
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,External causes of injury and poisoning,2008,No. per 1000 Pop.,0.3
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,External causes of injury and poisoning,2009,No. per 1000 Pop.,0.46
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,External causes of injury and poisoning,2010,No. per 1000 Pop.,0.37
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,External causes of injury and poisoning,2011,No. per 1000 Pop.,0.31
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,External causes of injury and poisoning,2012,No. per 1000 Pop.,0.34
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,External causes of injury and poisoning,2013,No. per 1000 Pop.,0.52
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,External causes of injury and poisoning,2014,No. per 1000 Pop.,0.34
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,External causes of injury and poisoning,2015,No. per 1000 Pop.,0.42
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,External causes of injury and poisoning,2016,No. per 1000 Pop.,0.28
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Carlow,External causes of injury and poisoning,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,Neoplasms,2007,No. per 1000 Pop.,2.23
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,Neoplasms,2008,No. per 1000 Pop.,2.33
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,Neoplasms,2009,No. per 1000 Pop.,2.24
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,Neoplasms,2010,No. per 1000 Pop.,2.22
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,Neoplasms,2011,No. per 1000 Pop.,2.34
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,Neoplasms,2012,No. per 1000 Pop.,2.26
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,Neoplasms,2013,No. per 1000 Pop.,2.19
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,Neoplasms,2014,No. per 1000 Pop.,2.25
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,Neoplasms,2015,No. per 1000 Pop.,2.32
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,Neoplasms,2016,No. per 1000 Pop.,2.23
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,Neoplasms,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,Diseases of the circulatory system,2007,No. per 1000 Pop.,2.52
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,Diseases of the circulatory system,2008,No. per 1000 Pop.,2.63
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,Diseases of the circulatory system,2009,No. per 1000 Pop.,2.2
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,Diseases of the circulatory system,2010,No. per 1000 Pop.,2.33
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,Diseases of the circulatory system,2011,No. per 1000 Pop.,2.26
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,Diseases of the circulatory system,2012,No. per 1000 Pop.,2.08
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,Diseases of the circulatory system,2013,No. per 1000 Pop.,2.06
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,Diseases of the circulatory system,2014,No. per 1000 Pop.,2
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,Diseases of the circulatory system,2015,No. per 1000 Pop.,2.16
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,Diseases of the circulatory system,2016,No. per 1000 Pop.,1.97
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,Diseases of the circulatory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,Diseases of the respiratory system,2007,No. per 1000 Pop.,0.89
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,Diseases of the respiratory system,2008,No. per 1000 Pop.,1.01
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,Diseases of the respiratory system,2009,No. per 1000 Pop.,0.98
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,Diseases of the respiratory system,2010,No. per 1000 Pop.,0.8
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,Diseases of the respiratory system,2011,No. per 1000 Pop.,0.84
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,Diseases of the respiratory system,2012,No. per 1000 Pop.,0.82
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,Diseases of the respiratory system,2013,No. per 1000 Pop.,0.87
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,Diseases of the respiratory system,2014,No. per 1000 Pop.,0.75
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,Diseases of the respiratory system,2015,No. per 1000 Pop.,0.93
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,Diseases of the respiratory system,2016,No. per 1000 Pop.,0.9
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,Diseases of the respiratory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,External causes of injury and poisoning,2007,No. per 1000 Pop.,0.49
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,External causes of injury and poisoning,2008,No. per 1000 Pop.,0.56
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,External causes of injury and poisoning,2009,No. per 1000 Pop.,0.45
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,External causes of injury and poisoning,2010,No. per 1000 Pop.,0.47
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,External causes of injury and poisoning,2011,No. per 1000 Pop.,0.47
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,External causes of injury and poisoning,2012,No. per 1000 Pop.,0.44
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,External causes of injury and poisoning,2013,No. per 1000 Pop.,0.36
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,External causes of injury and poisoning,2014,No. per 1000 Pop.,0.35
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,External causes of injury and poisoning,2015,No. per 1000 Pop.,0.27
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,External causes of injury and poisoning,2016,No. per 1000 Pop.,0.25
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin City,External causes of injury and poisoning,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,Neoplasms,2007,No. per 1000 Pop.,1.47
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,Neoplasms,2008,No. per 1000 Pop.,1.16
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,Neoplasms,2009,No. per 1000 Pop.,1.47
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,Neoplasms,2010,No. per 1000 Pop.,1.51
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,Neoplasms,2011,No. per 1000 Pop.,1.85
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,Neoplasms,2012,No. per 1000 Pop.,1.56
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,Neoplasms,2013,No. per 1000 Pop.,1.66
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,Neoplasms,2014,No. per 1000 Pop.,1.9
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,Neoplasms,2015,No. per 1000 Pop.,1.77
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,Neoplasms,2016,No. per 1000 Pop.,1.74
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,Neoplasms,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,Diseases of the circulatory system,2007,No. per 1000 Pop.,1.88
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,Diseases of the circulatory system,2008,No. per 1000 Pop.,1
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,Diseases of the circulatory system,2009,No. per 1000 Pop.,1.66
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,Diseases of the circulatory system,2010,No. per 1000 Pop.,1.43
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,Diseases of the circulatory system,2011,No. per 1000 Pop.,1.69
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,Diseases of the circulatory system,2012,No. per 1000 Pop.,1.57
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,Diseases of the circulatory system,2013,No. per 1000 Pop.,1.58
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,Diseases of the circulatory system,2014,No. per 1000 Pop.,1.55
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,Diseases of the circulatory system,2015,No. per 1000 Pop.,1.59
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,Diseases of the circulatory system,2016,No. per 1000 Pop.,1.47
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,Diseases of the circulatory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,Diseases of the respiratory system,2007,No. per 1000 Pop.,0.56
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,Diseases of the respiratory system,2008,No. per 1000 Pop.,0.42
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,Diseases of the respiratory system,2009,No. per 1000 Pop.,0.68
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,Diseases of the respiratory system,2010,No. per 1000 Pop.,0.65
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,Diseases of the respiratory system,2011,No. per 1000 Pop.,0.77
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,Diseases of the respiratory system,2012,No. per 1000 Pop.,0.59
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,Diseases of the respiratory system,2013,No. per 1000 Pop.,0.68
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,Diseases of the respiratory system,2014,No. per 1000 Pop.,0.7
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,Diseases of the respiratory system,2015,No. per 1000 Pop.,0.67
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,Diseases of the respiratory system,2016,No. per 1000 Pop.,0.54
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,Diseases of the respiratory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,External causes of injury and poisoning,2007,No. per 1000 Pop.,0.37
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,External causes of injury and poisoning,2008,No. per 1000 Pop.,0.31
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,External causes of injury and poisoning,2009,No. per 1000 Pop.,0.37
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,External causes of injury and poisoning,2010,No. per 1000 Pop.,0.27
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,External causes of injury and poisoning,2011,No. per 1000 Pop.,0.34
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,External causes of injury and poisoning,2012,No. per 1000 Pop.,0.16
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,External causes of injury and poisoning,2013,No. per 1000 Pop.,0.27
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,External causes of injury and poisoning,2014,No. per 1000 Pop.,0.29
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,External causes of injury and poisoning,2015,No. per 1000 Pop.,0.12
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,External causes of injury and poisoning,2016,No. per 1000 Pop.,0.22
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Dublin,External causes of injury and poisoning,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,Neoplasms,2007,No. per 1000 Pop.,1.97
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,Neoplasms,2008,No. per 1000 Pop.,1.19
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,Neoplasms,2009,No. per 1000 Pop.,2.05
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,Neoplasms,2010,No. per 1000 Pop.,1.5
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,Neoplasms,2011,No. per 1000 Pop.,1.86
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,Neoplasms,2012,No. per 1000 Pop.,2.11
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,Neoplasms,2013,No. per 1000 Pop.,2.05
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,Neoplasms,2014,No. per 1000 Pop.,1.93
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,Neoplasms,2015,No. per 1000 Pop.,1.66
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,Neoplasms,2016,No. per 1000 Pop.,1.74
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,Neoplasms,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,Diseases of the circulatory system,2007,No. per 1000 Pop.,1.88
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,Diseases of the circulatory system,2008,No. per 1000 Pop.,1.12
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,Diseases of the circulatory system,2009,No. per 1000 Pop.,1.95
